URN,EstablishmentNumber,EstablishmentName,StudentsAchievingGrade5PlusEngMathRate,NumberOfPupils,StudentReceivingFreeSchoolMeals,PercentOfStudentReceivingFreeSchoolMeals,TotalPupils,FemalePupils,PercentFemale,UrbanRuralClassification,Postcode,GOR,LA (code),LA (name),Easting,Northing,MSOA (code),LSOA (code),LargeCentralMetro,LargeFringeMetro,MediumMetro,SmallMetro,Micropolitan,Noncore,AsianPopulationRate,BlackPopulationRate,WhitePopulationRate,OtherRacePopulationRate,LSOA21CD,LSOA11CD,LSOA code (2011),IDACI,SAMHI,YPAccessibilityRank,YPAccessibilityIndex
100049.0,4104.0,Haverstock School,43.0,199.0,117.0,59.0,950,393.0,41.37,Urban: Nearer to a major town or city,NW3 2BQ,London,202,Camden,528159.0,184498.0,E02000177,E01000902,1,0,0,0,0,0,19.35,17.16,49.79,13.7,E01000902,E01000902,E01000902,1.0,10.0,83.0,1.0
100050.0,4166.0,Parliament Hill School,58.0,175.0,94.0,54.0,1170,1123.0,95.98,Urban: Nearer to a major town or city,NW5 1RL,London,202,Camden,528369.0,186019.0,E02000166,E01000912,1,0,0,0,0,0,8.82,10.26,66.75,14.17,E01000912,E01000912,E01000912,3.0,2.0,161.0,1.0
100054.0,4611.0,The Camden School for Girls,75.0,107.0,38.0,36.0,1025,879.0,85.76,Urban: Nearer to a major town or city,NW5 2DB,London,202,Camden,529441.0,184659.0,E02000180,E01035707,1,0,0,0,0,0,9.01,6.2,73.25,11.54,E01035707,E01000864,E01000864,5.5,2.0,90.0,1.0
100056.0,4688.0,William Ellis School,41.0,111.0,58.0,52.0,836,,,Urban: Nearer to a major town or city,NW5 1RN,London,202,Camden,528267.0,186049.0,E02000166,E01000912,1,0,0,0,0,0,8.82,10.26,66.75,14.17,E01000912,E01000912,E01000912,3.0,2.0,422.0,3.0
137181.0,4000.0,The UCL Academy,47.0,171.0,100.0,59.0,1133,542.0,47.84,Urban: Nearer to a major town or city,NW3 3AQ,London,202,Camden,526867.0,184105.0,E02000182,E01000963,1,0,0,0,0,0,36.48,4.22,43.41,15.89,E01000963,E01000963,E01000963,8.0,3.0,141.0,1.0
100051.0,4196.0,Regent High School,41.0,154.0,113.0,73.0,1003,451.0,44.97,Urban: Nearer to a major town or city,NW1 1RX,London,202,Camden,529555.0,183356.0,E02000187,E01000952,1,0,0,0,0,0,29.65,16.03,42.44,11.87,E01000952,E01000952,E01000952,2.5,6.0,138.0,1.0
100052.0,4275.0,Hampstead School,32.0,200.0,128.0,64.0,1308,621.0,47.48,Urban: Nearer to a major town or city,NW2 3RT,London,202,Camden,524402.0,185633.0,E02000170,E01000871,1,0,0,0,0,0,15.84,5.02,64.03,15.11,E01000871,E01000871,E01000871,6.0,1.0,260.0,2.0
100053.0,4285.0,Acland Burghley School,47.0,137.0,72.0,53.0,1008,340.0,33.73,Urban: Nearer to a major town or city,NW5 1UJ,London,202,Camden,528962.0,185931.0,E02000168,E01000928,1,0,0,0,0,0,8.55,4.61,75.44,11.4,E01000928,E01000928,E01000928,6.0,2.0,169.0,1.0
100055.0,4652.0,Maria Fidelis Catholic School FCJ,45.0,115.0,57.0,50.0,711,418.0,58.79,Urban: Nearer to a major town or city,NW1 1LY,London,202,Camden,529642.0,182873.0,E02000187,E01000955,1,0,0,0,0,0,29.65,16.03,42.44,11.87,E01000955,E01000955,E01000955,2.5,6.0,107.0,1.0
100059.0,5401.0,La Sainte Union Catholic Secondary School,53.0,173.0,72.0,42.0,1073,1058.0,98.6,Urban: Nearer to a major town or city,NW5 1RP,London,202,Camden,528379.0,186191.0,E02000168,E01000910,1,0,0,0,0,0,8.55,4.61,75.44,11.4,E01000910,E01000910,E01000910,6.0,2.0,265.0,2.0
