URN,EstablishmentName,StudentsAchievingGrade5PlusEngMathRate,borda_rank,borda_points_total,NumberOfPupils,PercentOfStudentReceivingFreeSchoolMeals,UrbanRuralClassification,GOR,LA (code),LA (name),LSOA (code),MSOA (code),Postcode,longitude,latitude,Easting,Northing
100849.0,St Saviour's and St Olave's Church of England School,57.0,1.0,9995.0,125.0,48.0,Urban: Nearer to a major town or city,London,210,Southwark,E01003942,E02000812,SE1 4AN,-0.0875518675907312,51.49466531547278,532857.0,179036.0
100458.0,Central Foundation Boys' School,71.0,2.0,9953.0,135.0,59.0,Urban: Nearer to a major town or city,London,206,Islington,E01002704,E02000576,EC2A 4SH,-0.0858228362621441,51.525257365937605,532888.0,182441.0
100282.0,Our Lady's Convent Roman Catholic High School,49.0,3.0,9949.0,121.0,48.0,Urban: Nearer to a major town or city,London,204,Hackney,E01001809,E02000345,N16 5AF,-0.0752071397377516,51.57427298951782,533481.0,187911.0
100055.0,Maria Fidelis Roman Catholic Convent School FCJ,40.0,4.0,9948.0,78.0,62.0,Urban: Nearer to a major town or city,London,202,Camden,E01000955,E02000187,NW1 1LY,-0.1324277644975689,51.529893593586976,529642.0,182873.0
133599.0,Yesodey Hatorah Senior Girls School,68.0,5.0,9947.0,56.0,7.0,Urban: Nearer to a major town or city,London,204,Hackney,E01001826,E02000348,N16 6UB,-0.0683407346650619,51.573521532853185,533959.0,187840.0
137789.0,Green Spring Academy Shoreditch,44.0,5.0,9947.0,176.0,68.0,Urban: Nearer to a major town or city,London,211,Tower Hamlets,E01004312,E02000872,E2 6NW,-0.0695862948442627,51.52739204051351,534008.0,182708.0
137440.0,Cotham School,58.0,7.0,9946.0,213.0,30.0,Urban: Nearer to a major town or city,South West,801,"Bristol, City of",E01014557,E02003033,BS6 6DT,-2.6020421455351137,51.4635666861411,358273.0,174016.0
138202.0,Wapping High School,65.0,8.0,9944.0,37.0,68.0,Urban: Nearer to a major town or city,London,211,Tower Hamlets,E01004321,E02000884,E1 2DA,-0.0609737611380554,51.514974906543046,534642.0,181343.0
136978.0,Stratford School Academy,43.0,9.0,9937.0,180.0,50.0,Urban: Nearer to a major town or city,London,316,Newham,E01003574,E02000730,E7 9PR,0.0235591439902281,51.541010668924976,540427.0,184397.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
137353.0,The St Marylebone CofE School,64.0,26.0,9922.0,149.0,29.0,Urban: Nearer to a major town or city,London,213,Westminster,E01004717,E02000970,W1U 5BA,-0.1521449148519796,51.522211292218536,528296.0,181984.0
141931.0,The Cardinal Vaughan Memorial RC School,67.0,27.0,9917.0,121.0,24.0,Urban: Nearer to a major town or city,London,207,Kensington and Chelsea,E01002869,E02000585,W14 8BZ,-0.2117194570296673,51.503890362229434,524213.0,179844.0
131262.0,Westminster Academy,55.0,28.0,9913.0,172.0,58.0,Urban: Nearer to a major town or city,London,213,Westminster,E01032512,E02000969,W2 5EZ,-0.1923724747179133,51.520877664050865,525509.0,181766.0
100457.0,Elizabeth Garrett Anderson School,55.0,29.0,9910.0,161.0,68.0,Urban: Nearer to a major town or city,London,206,Islington,E01002697,E02000572,N1 9QG,-0.1126214227459916,51.53294891061472,531007.0,183248.0
100051.0,Regent High School,34.0,30.0,9903.0,110.0,62.0,Urban: Nearer to a major town or city,London,202,Camden,E01000952,E02000187,NW1 1RX,-0.1335036629573049,51.534254194848984,529555.0,183356.0
100973.0,Swanlea School,44.0,31.0,9898.0,196.0,64.0,Urban: Nearer to a major town or city,London,211,Tower Hamlets,E01004205,E02000876,E1 5DJ,-0.0600363829136348,51.52075066436236,534690.0,181987.0
100972.0,Oaklands School,46.0,32.0,9897.0,112.0,62.0,Urban: Nearer to a major town or city,London,211,Tower Hamlets,E01004203,E02000868,E2 6PR,-0.0616937686014475,51.52924010482462,534550.0,182928.0
138313.0,The Grey Coat Hospital,72.0,33.0,9896.0,149.0,20.0,Urban: Nearer to a major town or city,London,213,Westminster,E01004731,E02000979,SW1P 2DY,-0.1345042746011027,51.49603306279619,529594.0,179104.0
138312.0,Westminster City School,48.0,33.0,9896.0,124.0,48.0,Urban: Nearer to a major town or city,London,213,Westminster,E01004731,E02000979,SW1E 5HJ,-0.1390644780133617,51.49796700349733,529272.0,179311.0
136172.0,Hammersmith Academy,45.0,35.0,9894.0,115.0,52.0,Urban: Nearer to a major town or city,London,205,Hammersmith and Fulham,E01001858,E02000377,W12 9JD,-0.2357399966211418,51.50201492412597,522551.0,179595.0
131747.0,Harris Academy Bermondsey,47.0,36.0,9892.0,160.0,59.0,Urban: Nearer to a major town or city,London,210,Southwark,E01003977,E02000816,SE16 3TZ,-0.0708996968510468,51.4932593918176,534017.0,178910.0
134222.0,City of London Academy (Southwark),55.0,37.0,9889.0,190.0,57.0,Urban: Nearer to a major town or city,London,210,Southwark,E01004038,E02000816,SE1 5LA,-0.0658660523195077,51.48897680745791,534379.0,178443.0
130912.0,Paddington Academy,64.0,38.0,9883.0,184.0,68.0,Urban: Nearer to a major town or city,London,213,Westminster,E01004676,E02000965,W9 2DR,-0.1920640446300445,51.525387213488905,525518.0,182268.0
